25,100.0,67.7,25.5,35.8,90.8,100.0,4.6,-26.8,125.1,0.4,-220.4,-3.9,1.0,189.7,-12.2,1.0,26.180404,59.37,0.44097,0.0,0.0,0.0,2.123,4.245,0.007,2.123,0.0,0.0,0.0,0.0,0.0
26,100.0,12.2,5.4,8.9,61.8,100.0,56.8,-47.8,23.8,9.7,-184.6,57.2,1.1,-47.7,-39.9,1.1,23.82,23.82,1.0,0.0,0.0,0.0,0.0,0.0,0,18.964,0.0,0.0,0.0,0.0,0.0
27,100.0,39.0,78.1,79.0,21.4,100.0,61.4,-88.9,15.0,94.9,58.3,194.9,1.0,-128.3,-59.9,1.0,100.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
28,100.0,60.9,74.0,57.3,69.1,100.0,53.8,-24.4,137.1,20.8,-191.6,-32.3,1.1,42.5,-145.7,1.0,70.0,100.0,0.7,0.0,0.0,0.0,2.598,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
29,100.0,6.5,54.8,62.2,65.8,100.0,12.1,-34.4,251.0,4.3,31.5,178.5,1.0,-131.6,-78.5,1.0,100.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
30,100.0,28.4,42.7,27.1,48.9,100.0,97.8,-32.8,141.1,68.2,-131.6,-129.5,1.0,-188.1,-27.6,1.1,65.02,65.02,1.0,0.0,0.0,0.0,0.0,0.0,0,7.879,0.0,0.0,0.0,0.0,0.0
31,100.0,79.6,88.9,64.2,70.0,100.0,30.9,-54.0,56.8,85.5,17.3,88.1,1.0,-188.1,57.2,1.1,80.0,100.0,0.8,0.0,0.0,0.0,0.0,4.411,0,0.0,0.0,0.0,0.0,0.0,0.0
32,100.0,7.3,75.7,86.1,58.7,100.0,63.2,43.0,129.2,95.7,-51.2,-39.6,1.1,35.0,-18.5,1.0,32.68,32.68,1.0,0.0,0.0,0.0,0.0,0.0,0,22.675,0.0,0.0,0.0,0.0,0.0
33,100.0,30.4,46.7,88.5,0.9,100.0,20.7,29.0,313.3,41.3,37.1,208.8,1.0,-18.2,-94.9,1.0,100.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
34,100.0,77.4,4.1,53.7,86.8,100.0,97.4,-87.7,178.4,92.3,-184.6,38.2,1.1,-184.6,-54.6,1.1,100.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
35,100.0,59.6,0.2,51.1,67.4,100.0,12.5,-67.1,130.9,46.2,-98.2,2.8,1.0,24.5,160.7,1.0,100.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
36,100.0,42.9,37.1,22.7,72.0,100.0,25.3,-17.8,280.5,66.6,-121.0,27.3,1.0,-131.9,-142.4,1.1,100.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
37,100.0,58.5,60.3,60.1,74.2,100.0,52.2,-8.4,38.7,54.5,27.4,-128.7,1.0,-120.0,136.6,1.0,99.802875,100.0,0.998029,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0
38,100.0,2.6,0.8,64.3,51.1,100.0,30.3,-7.7,308.8,38.7,0.8,-91.4,1.0,35.8,-51.0,1.0,53.75,53.75,1.0,0.0,0.0,0.0,0.0,0.0,0,7.032,0.0,0.0,0.0,0.0,0.0
39,100.0,83.0,38.0,10.3,33.5,100.0,2.5,56.7,292.5,19.3,69.4,-193.7,1.0,-6.7,84.6,1.0,69.302581,100.0,0.693026,0.0,0.0,0.0,1.409,0.0,0.007,0.0,0.0,0.0,0.0,0.0,0.0
40,100.0,62.3,23.5,7.7,75.8,100.0,5.9,25.3,299.8,28.9,-131.6,15.4,1.0,-103.7,94.9,1.0,100.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
41,100.0,8.6,86.1,77.0,8.0,100.0,8.7,27.0,246.6,84.9,-162.6,-84.6,1.0,27.1,-117.7,1.0,99.794191,100.0,0.997942,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0
42,100.0,2.9,23.6,63.6,73.2,100.0,66.5,-39.6,35.0,67.2,-131.6,-129.5,1.0,-268.6,-19.2,1.0,55.128,68.91,0.8,0.0,0.0,0.0,0.0,5.674,0,5.674,0.0,0.0,0.0,0.0,0.0
43,100.0,75.7,32.0,83.9,77.1,100.0,40.5,42.3,54.8,30.6,-20.2,-94.9,1.0,-128.4,-43.9,1.0,100.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
44,100.0,25.1,2.7,13.5,89.9,100.0,94.4,12.9,335.6,25.2,7.1,-193.5,1.0,210.8,-9.3,1.0,1.34853,1.61,0.837596,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,81.417,0.0,0.0,0.0
45,100.0,46.7,56.6,50.6,53.4,100.0,35.0,45.2,199.3,56.5,-191.6,14.3,1.1,-202.4,-4.0,1.0,80.0,100.0,0.8,0.0,0.0,0.0,0.0,3.628,0,0.0,0.0,0.0,0.0,0.0,0.0
46,100.0,9.6,29.8,70.1,69.5,100.0,51.1,56.2,333.2,86.0,-0.4,-87.9,1.0,-184.6,-54.6,1.1,69.39456,100.0,0.693946,0.0,0.0,0.0,2.801,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0
47,100.0,45.4,0.7,32.3,61.8,100.0,58.5,31.4,12.8,93.8,-47.8,-88.0,1.0,207.2,-12.2,1.0,99.711745,100.0,0.997117,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0
48,100.0,25.8,20.2,11.4,22.8,100.0,32.1,-86.2,21.8,0.9,-217.4,-0.4,1.0,-157.8,87.9,1.0,64.0,100.0,0.64,0.0,0.0,0.0,0.0,4.911,0,0.0,0.0,0.0,0.0,0.0,0.0
49,100.0,64.8,98.2,46.0,20.1,100.0,18.1,-67.5,157.4,64.3,-128.3,-58.9,1.0,-99.4,2.8,1.0,100.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
50,100.0,51.0,71.4,45.1,42.9,100.0,57.7,-39.1,348.3,72.6,-19.1,-0.9,1.0,-93.8,-95.0,1.0,100.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
51,100.0,42.3,74.3,71.5,47.8,100.0,17.4,85.9,220.3,53.5,35.1,-154.5,1.0,-67.8,-4.3,1.0,100.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
52,100.0,36.1,35.6,70.5,20.4,100.0,97.0,6.2,283.8,21.6,-114.3,151.2,1.1,-36.3,95.0,1.0,100.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
53,100.0,92.3,45.0,31.2,97.4,100.0,43.2,42.9,295.9,13.5,-78.8,-95.0,1.0,23.2,194.7,1.0,4.49,4.49,1.0,0.0,0.0,0.0,0.0,0.0,0,22.559,0.0,0.0,0.0,0.0,0.0
54,100.0,11.4,74.0,34.0,28.0,100.0,23.0,53.5,324.7,48.8,-130.7,118.3,1.0,-80.3,-88.0,1.0,24.016,30.02,0.8,0.0,0.0,0.0,0.0,8.782,0,8.782,0.0,0.0,0.0,0.0,0.0
55,100.0,78.4,18.0,13.2,18.7,100.0,13.7,-4.0,346.1,95.7,-131.3,-125.7,1.0,28.6,-178.6,1.0,70.0,100.0,0.7,0.0,0.0,0.0,0.802,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
56,100.0,26.4,93.6,64.9,35.4,100.0,44.3,-2.6,111.9,42.1,-97.0,-0.7,1.0,24.6,54.2,1.0,68.96,68.96,1.0,0.0,0.0,0.0,0.0,0.0,0,3.968,0.0,0.0,0.0,0.0,0.0
57,100.0,11.0,56.6,87.1,3.8,100.0,67.2,43.0,270.4,67.7,189.7,-11.0,1.0,-87.6,84.5,1.0,100.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
58,100.0,51.8,66.6,82.1,17.6,100.0,10.3,84.4,134.6,40.2,35.0,163.7,1.0,-221.9,3.1,1.0,63.16037,100.0,0.631604,0.0,0.0,0.0,0.0,4.163,0.006,0.0,0.0,0.0,0.0,0.0,0.0
59,100.0,12.0,81.0,54.3,24.4,100.0,71.7,-64.0,25.5,29.1,-90.8,88.0,1.0,68.3,-193.7,1.0,23.35,23.35,1.0,0.0,0.0,0.0,0.0,0.0,0,9.385,0.0,0.0,0.0,0.0,0.0
60,100.0,11.1,72.1,97.8,9.3,100.0,63.9,-38.0,34.7,76.7,-120.0,136.6,1.0,26.0,-76.9,1.0,100.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
61,100.0,46.1,61.0,12.0,31.0,100.0,67.0,61.0,211.8,98.2,-121.5,-25.9,1.0,-131.5,27.4,1.0,80.0,100.0,0.8,0.0,0.0,0.0,0.0,3.468,0,0.0,0.0,0.0,0.0,0.0,0.0
62,100.0,5.9,79.1,90.6,89.5,100.0,83.7,64.0,332.8,85.2,-47.1,34.9,1.1,69.4,-200.7,1.0,99.304078,100.0,0.993041,0.0,0.0,0.0,0.0,0.0,0.006,0.0,0.0,0.0,0.0,0.0,0.0
63,100.0,47.1,7.5,60.3,85.7,100.0,81.2,-82.6,293.5,31.8,-135.3,147.6,1.1,-51.2,-40.6,1.1,55.679841,100.0,0.556798,0.0,0.0,0.0,2.382,2.382,0.002,0.0,0.0,0.0,0.0,0.0,0.0
64,100.0,4.5,37.9,78.3,46.6,100.0,47.0,34.7,223.9,85.9,-158.2,-4.1,1.0,-47.2,56.5,1.1,56.0,100.0,0.56,0.0,0.0,0.0,3.499,3.499,0,0.0,0.0,0.0,0.0,0.0,0.0
65,100.0,48.5,68.0,36.5,28.7,100.0,78.7,-60.9,83.9,54.1,-50.7,53.9,1.1,26.0,-76.9,1.0,43.17,43.17,1.0,0.0,0.0,0.0,0.0,0.0,0,5.879,0.0,0.0,0.0,0.0,0.0
66,100.0,40.7,16.0,39.7,30.9,100.0,29.6,70.3,1.9,75.9,69.4,-200.7,1.0,-87.6,84.5,1.0,99.047621,100.0,0.990476,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0
67,100.0,48.5,49.2,33.2,31.4,100.0,53.4,-43.2,20.0,92.7,-47.1,34.9,1.1,-54.6,-24.6,1.1,100.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
68,100.0,12.7,68.6,38.7,26.6,100.0,94.3,-59.1,141.8,20.4,-131.6,15.8,1.0,-113.5,-84.6,1.0,64.0,100.0,0.64,0.0,0.0,0.0,0.0,5.693,0,0.0,0.0,0.0,0.0,0.0,0.0
69,100.0,22.6,47.9,38.7,31.9,100.0,65.3,44.1,118.1,65.7,-191.6,14.3,1.1,59.5,187.9,1.0,25.239228,36.16,0.697988,0.0,0.0,0.0,2.875,0.0,0.001,2.875,0.0,0.0,0.0,0.0,0.0
70,100.0,5.8,28.4,32.4,72.7,100.0,21.0,-20.0,275.1,37.7,-113.2,2.8,1.0,35.2,-28.4,1.0,100.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
71,100.0,86.1,75.4,9.3,72.2,100.0,46.4,64.5,248.4,69.1,-50.5,33.3,1.1,-195.1,34.3,1.1,69.58,69.58,1.0,0.0,0.0,0.0,0.0,0.0,0,4.98,0.0,0.0,0.0,0.0,0.0
72,100.0,40.6,10.2,10.1,24.8,100.0,91.4,66.9,131.0,95.1,-127.7,53.4,1.0,-109.7,91.4,1.0,100.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
73,100.0,96.7,34.8,1.3,51.6,100.0,91.5,10.8,132.3,69.8,-188.1,-29.4,1.1,-36.4,2.6,1.0,80.0,100.0,0.8,0.0,0.0,0.0,0.0,3.628,0,0.0,0.0,0.0,0.0,0.0,0.0
74,100.0,18.4,86.4,89.4,48.3,100.0,28.2,15.2,43.2,86.5,-63.6,88.0,1.0,-265.5,20.8,1.0,80.0,100.0,0.8,0.0,0.0,0.0,0.0,3.88,0,0.0,0.0,0.0,0.0,0.0,0.0
75,100.0,61.1,87.3,6.8,86.3,100.0,33.6,57.0,220.1,43.5,-217.6,-0.4,1.0,28.1,30.2,1.0,39.948282,63.85,0.625658,0.0,0.0,0.0,0.0,6.215,0.007,3.107,0.0,0.0,0.0,0.0,0.0
76,100.0,95.9,84.6,94.2,12.2,100.0,26.1,-67.3,228.4,40.9,-120.6,74.9,1.0,37.9,-128.3,1.0,20.99,20.99,1.0,0.0,0.0,0.0,0.0,0.0,0,14.254,0.0,0.0,0.0,0.0,0.0
77,100.0,34.9,97.8,74.0,53.6,100.0,7.9,51.9,158.7,19.6,35.1,-154.5,1.0,24.6,146.7,1.0,79.588177,100.0,0.795882,0.0,0.0,0.0,0.0,0.948,0.005,0.0,0.0,0.0,0.0,0.0,0.0
78,100.0,8.3,69.5,52.2,53.6,100.0,71.4,28.9,301.8,29.0,35.5,90.5,1.0,31.6,57.2,1.0,56.0,100.0,0.56,0.0,0.0,0.0,2.086,2.086,0,0.0,0.0,0.0,0.0,0.0,0.0
79,100.0,3.7,98.6,23.4,74.9,100.0,57.5,74.8,338.9,55.8,-110.7,-88.1,1.0,-51.1,-22.8,1.1,100.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
80,100.0,86.2,8.2,70.2,70.8,100.0,30.7,14.6,243.2,51.3,35.8,-52.0,1.0,196.7,-12.3,1.0,100.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
81,100.0,48.3,60.7,33.1,61.5,100.0,75.8,-49.9,300.7,56.6,37.9,-130.3,1.0,-124.8,-57.9,1.0,40.76281,64.77,0.629347,0.0,0.0,0.0,0.0,5.465,0.006,2.732,0.0,0.0,0.0,0.0,0.0
82,100.0,90.1,89.9,16.1,68.6,100.0,76.5,-78.8,201.9,80.4,36.7,-194.4,1.0,11.2,-1.0,1.0,98.099384,100.0,0.980994,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0
83,100.0,20.0,21.6,31.7,36.5,100.0,33.6,-15.5,317.2,44.6,211.0,13.9,1.0,24.6,121.8,1.0,1.1245,1.73,0.65,0.0,0.0,87.013,0.0,0.0,0,0.0,0.0,87.013,0.0,0.0,0.0
84,100.0,20.9,50.4,34.5,11.6,100.0,66.3,-19.3,125.6,53.8,-120.6,74.9,1.0,-157.8,87.9,1.0,22.82,22.82,1.0,0.0,0.0,0.0,0.0,0.0,0,14.252,0.0,0.0,0.0,0.0,0.0
85,100.0,5.2,53.1,2.5,0.0,100.0,97.4,31.0,28.9,41.2,-217.9,6.6,1.0,-121.0,28.9,1.0,80.0,100.0,0.8,0.0,0.0,0.0,0.0,4.493,0,0.0,0.0,0.0,0.0,0.0,0.0
86,100.0,60.8,17.8,57.2,27.8,100.0,11.0,-10.7,328.1,72.3,-62.6,-95.0,1.0,-105.4,6.3,1.0,100.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
87,100.0,33.8,31.0,72.0,65.5,100.0,25.4,28.9,150.6,19.0,28.1,30.2,1.0,-130.7,117.3,1.0,98.637554,100.0,0.986376,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0
88,100.0,50.6,81.8,9.0,57.0,100.0,91.9,33.7,299.6,42.2,-124.0,75.9,1.0,-157.8,87.9,1.0,96.1,96.1,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,40.635,0.0,0.0,0.0
89,100.0,48.5,95.7,89.5,28.2,100.0,58.0,31.4,156.9,19.5,-265.5,19.6,1.0,-50.7,52.9,1.1,68.340519,100.0,0.683405,0.0,0.0,0.0,3.746,0.0,0.006,0.0,0.0,0.0,0.0,0.0,0.0
90,100.0,41.6,96.9,93.4,40.2,100.0,89.5,20.3,359.6,6.9,207.6,11.1,1.0,196.7,-12.3,1.0,80.0,100.0,0.8,0.0,0.0,0.0,0.0,0.902,0,0.0,0.0,0.0,0.0,0.0,0.0
91,100.0,78.6,92.9,23.1,31.5,100.0,92.2,-71.7,306.1,75.2,-47.2,55.5,1.1,57.5,191.4,1.0,99.557123,100.0,0.995571,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0
92,100.0,8.4,69.9,99.3,22.0,100.0,34.6,62.7,195.5,18.5,-143.8,84.4,1.0,-54.9,-78.7,1.1,23.04,28.8,0.8,0.0,0.0,0.0,0.0,8.516,0,8.516,0.0,0.0,0.0,0.0,0.0
93,100.0,32.6,12.2,80.1,28.3,100.0,82.7,-74.2,280.7,17.1,-54.8,-59.6,1.1,-54.1,13.7,1.1,56.903,81.29,0.7,0.0,0.0,0.0,3.538,0.0,0,3.538,0.0,0.0,0.0,0.0,0.0
94,100.0,75.4,73.6,72.3,9.0,100.0,7.3,-12.7,26.5,89.2,30.9,-130.6,1.0,211.0,15.1,1.0,23.73,33.9,0.7,0.0,0.0,0.0,4.505,0.0,0,4.505,0.0,0.0,0.0,0.0,0.0
95,100.0,25.3,98.7,8.0,75.3,100.0,85.3,47.9,284.5,46.4,35.1,137.7,1.0,-47.8,-57.9,1.1,100.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
96,100.0,40.9,9.8,80.3,24.6,100.0,52.9,-43.0,86.7,49.0,-62.8,-4.3,1.0,-147.5,-95.1,1.0,100.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
97,100.0,65.6,64.4,0.3,51.8,100.0,46.6,63.0,82.1,16.6,-128.0,27.4,1.0,24.7,-30.3,1.0,100.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
98,100.0,43.2,95.8,1.8,85.2,100.0,3.3,72.9,297.9,44.8,31.6,56.2,1.0,-54.0,19.7,1.1,100.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
99,100.0,88.1,63.6,50.3,78.9,100.0,12.5,13.7,16.3,27.8,-124.9,-40.3,1.0,-121.4,-10.2,1.0,74.65,74.65,1.0,0.0,0.0,0.0,0.0,0.0,0,5.352,0.0,0.0,0.0,0.0,0.0
100,100.0,35.6,55.1,76.2,7.8,100.0,96.8,-61.1,330.5,55.5,-97.0,-0.7,1.0,-105.3,-88.1,1.0,100.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
101,100.0,66.9,17.0,23.0,96.1,100.0,42.0,-38.1,183.8,55.7,-191.6,-32.3,1.1,31.5,179.5,1.0,70.0,100.0,0.7,0.0,0.0,0.0,0.764,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
102,100.0,98.8,48.2,66.6,42.7,100.0,89.2,-16.2,301.4,74.3,35.1,95.8,1.0,-179.3,3.0,1.0,51.504,64.38,0.8,0.0,0.0,0.0,0.0,2.521,0,2.521,0.0,0.0,0.0,0.0,0.0
103,100.0,70.2,5.4,47.9,0.2,100.0,21.0,-35.9,18.5,60.7,-55.2,-79.4,1.1,-1.4,2.6,1.0,67.39,67.39,1.0,0.0,0.0,0.0,0.0,0.0,0,11.779,0.0,0.0,0.0,0.0,0.0
104,100.0,17.9,22.9,82.8,14.9,100.0,15.0,-79.7,200.0,86.0,-121.3,-58.6,1.0,-184.6,58.2,1.1,64.0,100.0,0.64,0.0,0.0,0.0,0.0,5.204,0,0.0,0.0,0.0,0.0,0.0,0.0
105,100.0,0.9,5.9,86.8,53.9,100.0,75.4,60.7,235.1,11.1,18.0,-94.9,1.0,204.0,15.0,1.0,69.923002,100.0,0.69923,0.0,0.0,0.0,1.367,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0
106,100.0,36.5,20.5,87.4,87.1,100.0,81.7,13.7,21.6,3.2,-95.3,-95.0,1.0,35.8,-51.0,1.0,70.0,100.0,0.7,0.0,0.0,0.0,3.098,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
107,100.0,75.9,33.5,76.8,99.0,100.0,88.0,14.7,355.9,95.3,36.7,-194.4,1.0,-131.6,-78.5,1.0,100.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
108,100.0,53.0,29.7,86.7,8.2,100.0,95.8,43.8,59.8,31.2,-51.5,-87.7,1.1,24.6,30.2,1.0,50.47,50.47,1.0,0.0,0.0,0.0,0.0,0.0,0,10.854,0.0,0.0,0.0,0.0,0.0
109,100.0,36.3,32.4,52.5,81.1,100.0,82.9,-46.2,7.9,80.8,-80.3,-84.5,1.0,72.6,-204.3,1.0,11.23,11.23,1.0,0.0,0.0,0.0,0.0,0.0,0,8.921,0.0,0.0,0.0,0.0,0.0
